id,loitering
98391,0
2834,0
100966,0
130244,0
130405,0
127712,0
127002,0
69163,1
7035,1
102736,0
2864,0
67698,0
302,0
98279,1
148,0
9128,0
129402,0
68430,0
128483,1
130434,0
130420,0
128659,1
66714,0
128907,0
2069,0
102656,0
4723,0
4405,0
4854,0
127407,0
98736,1
65161,0
101047,0
273,1
4385,1
4442,0
68969,0
8705,0
4034,0
101144,1
65579,1
98359,1
6396,0
65110,0
100780,0
130368,0
65850,0
129709,1
129872,1
3441,0
6846,1
127076,0
6628,0
130629,0
1329,0
69145,0
127956,0
127297,0
128693,1
101357,0
519,0
99546,1
9399,0
8249,0
3681,0
4748,0
4313,0
66112,0
130735,0
2394,0
102964,0
99788,1
99569,0
101673,0
127781,1
7282,0
67533,0
4767,0
101153,0
149,1
101321,0
129228,0
4683,0
67339,0
6868,0
68026,0
3400,1
8851,0
4971,1
8336,0
8784,0
100567,1
126946,0
3319,1
66900,1
839,0
144296,0
68368,0
100176,1
2495,0
2724,0
1787,0
1774,0
99848,0
6378,0
1428,0
66651,0
99554,0
127942,1
8498,0
3362,0
65154,0
67074,0
9324,0
129880,0
3042,0
126891,0
8647,0
6210,1
3465,0
66187,0
126356,0
98836,0
68821,0
1642,0
67325,0
199,0
126850,1
128048,0
99557,0
9294,0
101299,0
2756,0
126745,0
3013,0
7876,0
68904,0
102968,0
9291,0
1772,0
739,0
6072,0
68980,1
4112,0
1136,0
8594,0
3120,0
66088,1
5081,0
100761,0
100566,1
504,0
3203,0
67551,0
3758,0
126985,0
640,0
9198,0
126959,1
470,0
129611,0
8833,0
2170,0
102280,0
65515,0
66293,0
65860,0
98605,1
6494,0
130341,0
69130,1
9269,0
129297,1
1910,0
5428,0
9262,0
3478,0
99556,0
66023,0
130174,0
129045,0
68520,0
128218,0
1050,0
130357,0
8217,0
6856,0
101148,0
67053,1
8769,0
129907,0
5170,0
66741,0
98592,1
127468,1
66242,0
6294,0
129059,0
6106,1
130672,0
98478,0
955,0
129919,0
129092,0
617,0
100896,0
102360,1
6483,0
100839,0
69038,1
68744,0
651,0
98127,0
66138,1
128513,1
129678,1
9040,0
8970,0
66415,0
1268,0
130543,0
68630,0
8985,0
127119,0
98253,1
65753,0
66544,0
99766,1
128437,0
130164,0
2972,0
9279,0
99326,0
3532,1
127586,1
126686,0
99696,0
99837,1
1816,0
130091,0
5107,1
99958,1
8436,0
495,0
101674,0
2630,0
102528,0
129382,1
6132,1
129683,0
67222,0
4125,1
128497,1
1539,0
8424,0
65576,0
65380,0
128500,1
127339,0
4156,1
8505,0
66927,0
4236,1
9423,0
127585,1
99561,0
1965,0
65716,0
102184,0
130820,0
67781,0
5490,0
127509,0
2336,0
100320,0
100116,0
8819,0
65787,0
65961,0
9241,0
126347,1
101623,0
98476,0
101775,1
8250,0
9488,0
129697,0
98894,0
6545,0
8078,0
101229,0
4920,0
1522,0
1370,0
3803,0
7487,0
1400,0
130975,0
8648,0
127066,1
6898,1
99858,1
127867,0
7048,0
1933,0
2034,0
65863,0
68060,0
2056,0
126944,1
132,0
129497,0
67052,0
9096,0
2455,0
3893,0
129926,0
127926,0
68801,0
127277,1
3883,0
128277,1
6246,0
6070,0
99475,0
9369,0
127326,1
127845,0
128420,0
99822,0
127556,1
8748,0
130732,0
65494,0
102691,1
129788,0
69093,0
2516,0
7689,0
128002,1
100697,0
99738,0
354,0
2898,0
126409,1
102255,0
99842,0
2922,0
144663,1
101023,0
4671,0
130063,0
98549,0
126845,0
1011,0
4956,0
67569,0
101748,0
4508,0
5753,0
98664,0
2936,0
3555,0
67838,0
68559,0
6320,0
652,0
127774,0
127214,0
8475,0
67883,0
127258,0
9258,0
2920,0
1413,0
3640,0
1171,0
4328,0
3701,0
99049,1
67730,0
101431,0
102187,0
66368,0
68730,0
67500,0
69109,0
101600,0
129743,0
5808,0
127166,0
4913,1
128563,1
3927,0
847,1
859,0
67498,0
65851,0
126905,0
127062,0
128548,1
101243,0
130806,0
129819,0
127323,1
8566,0
66954,0
130311,0
130035,0
102217,0
127910,0
100412,0
100957,0
67867,0
130527,0
68385,0
67564,0
129164,1
535,0
65696,0
6623,0
127306,0
128222,1
7914,0
65164,1
99244,0
129444,1
7112,0
100097,0
8015,0
1092,0
129888,0
98864,0
4968,0
100323,1
68370,0
98327,0
128260,0
66019,0
98866,1
66500,0
7906,1
102083,1
128811,0
59,0
68275,0
66266,0
7978,0
129760,0
65531,1
128228,0
128255,0
102307,1
98986,0
4827,0
480,0
99021,0
5735,0
65580,1
7770,0
6253,1
126475,0
9290,0
8229,1
3892,0
128977,0
129742,1
102056,0
8135,0
7759,0
2332,0
68064,0
921,0
65918,0
9359,0
127689,0
67015,0
4699,1
101464,0
130636,0
67021,0
128303,1
127792,0
7546,0
5240,0
127354,0
98870,0
130176,0
6770,1
650,0
126743,0
7243,0
3425,0
8003,1
7848,1
5660,0
128057,0
99053,1
5127,1
8200,0
8440,0
100958,0
67270,0
101653,0
68857,0
2849,0
4109,0
128536,1
68909,1
99222,0
4255,0
505,0
128130,1
4953,0
100907,1
130144,0
102563,0
128794,1
67234,0
2536,1
129619,0
1955,0
126348,0
101638,1
65,0
6687,0
130768,0
128037,0
130099,0
66840,0
127422,0
3709,0
98340,0
8540,0
69040,0
67525,0
6549,0
3115,0
67193,0
101992,1
67312,1
4056,0
9213,0
68714,0
126744,0
8876,0
100401,0
68889,0
101508,0
9244,0
2141,0
4335,0
231,0
130645,0
68875,0
127388,0
67689,0
129337,0
128901,1
100876,0
66864,1
101416,1
7435,0
234,0
3639,0
5545,0
130691,0
8918,0
8163,0
100277,0
68320,0
99427,0
65248,1
102892,0
2784,0
345,1
128291,0
128557,1
9184,0
129080,0
67025,1
98376,0
102535,0
130432,0
127660,1
68586,0
68153,0
128995,0
6644,0
69117,1
9297,0
99870,1
1632,0
102943,0
100906,0
68261,0
127860,1
4049,0
101469,0
3777,0
4316,0
2937,0
99397,0
130439,0
129270,0
2167,0
7741,0
68720,0
5944,0
5406,0
2768,0
6015,0
127123,0
101394,0
68931,0
67894,0
67179,0
99601,0
98153,0
130684,0
127505,0
1272,0
101209,1
128721,1
7746,0
68456,0
99855,1
7373,0
8026,1
101788,0
99153,0
127785,1
8782,0
5341,0
101116,0
6679,0
4326,1
101471,1
69123,0
68108,0
126603,0
3808,0
5990,1
99197,0
130631,0
8343,0
68186,0
3900,0
66514,0
102454,0
66228,0
129955,0
4976,0
127378,0
130719,0
434,0
99051,1
7116,0
2087,0
2617,0
5569,0
7564,0
128837,1
65506,1
68746,0
4970,1
102762,1
7608,0
6269,0
66122,0
66109,1
7774,0
127547,0
98766,0
127524,1
6187,0
184,1
1218,0
102559,0
100230,1
67194,0
99378,0
98189,0
66992,1
101588,1
5792,0
126462,0
101620,0
3312,0
8132,0
126852,0
130937,0
69177,1
5773,0
126548,0
98378,0
67512,0
129621,0
65741,0
68644,0
7690,0
127056,1
1170,0
8713,0
5299,0
2160,0
579,0
6726,0
1299,0
2712,0
6740,0
1123,0
99673,1
130758,0
4847,0
2451,0
68124,0
102422,0
2928,0
2268,0
66484,0
102705,0
129635,1
102098,1
126453,0
102096,1
9421,0
1074,0
8643,0
101521,1
5221,0
99101,0
99278,0
9265,0
773,0
129234,0
5547,0
4363,1
1603,0
102000,0
917,0
101927,0
2842,0
67659,0
128049,0
2385,1
3351,0
130815,0
6743,0
101842,0
7809,0
127759,1
128785,1
65879,1
1791,0
7869,0
5378,1
4890,0
128546,1
127765,0
100236,0
101069,1
99558,0
129705,1
98970,1
6336,0
102520,0
67001,1
68678,0
2743,0
101944,0
127903,0
1730,0
101755,0
5213,0
130502,0
127807,1
1943,0
67840,0
3125,0
6568,0
129729,0
68042,0
9431,0
67022,0
4197,0
128221,1
69096,0
67959,0
67322,0
102689,0
8805,0
128086,0
209,0
127535,1
5168,0
67707,0
911,0
67232,1
454,0
69050,1
5384,0
67161,0
127031,1
2334,0
1846,0
909,0
100011,0
7550,0
126460,0
4995,0
126934,0
68288,0
127866,0
99432,0
68213,0
4614,0
11,0
102576,1
102779,0
65458,1
130124,0
100181,0
7204,0
126851,1
3562,0
126996,0
129311,0
67126,1
98444,0
144884,1
8228,1
2145,0
129883,0
815,0
68543,0
100044,1
6907,0
102165,0
101434,0
66345,0
7474,0
130763,0
128116,0
2878,0
4738,0
3035,0
100785,1
126803,0
5587,0
100122,0
8166,0
100039,1
68458,0
100214,0
98160,0
8301,0
68338,0
100083,0
128296,0
102834,0
99742,1
9295,0
100058,0
3718,0
126957,0
5812,0
8236,0
4143,1
101845,0
68531,0
7208,0
8130,0
68679,0
2235,0
7121,0
1857,0
67909,0
102608,1
1196,0
127324,1
65181,1
6654,0
129487,0
4837,0
98828,1
65479,0
5197,0
66497,0
130510,0
129811,1
126904,0
102644,0
129110,0
67835,0
6316,0
67510,0
65471,0
128559,1
98813,0
8357,0
67056,1
127803,0
3331,0
128341,0
6571,0
8679,0
102420,0
838,0
5207,0
98983,0
2456,0
4426,0
8358,1
99735,0
66795,0
9137,0
127426,0
2680,0
8503,0
654,0
65510,0
100489,0
2466,0
101564,0
101437,0
5955,0
128648,1
100129,0
67889,0
99625,0
4103,0
7721,0
99505,1
2059,0
129633,0
1575,0
102021,0
5519,0
99671,0
129489,0
102859,0
98875,0
3929,0
101414,0
128121,1
98721,1
68755,0
8119,0
99424,0
99162,1
3690,0
6999,0
3823,0
5965,0
100143,0
65702,0
2048,0
65508,1
128203,0
98420,1
2010,0
100266,1
67002,1
66246,0
128252,1
100248,0
8463,0
100702,0
7088,0
66637,0
128457,1
126602,1
65737,0
99252,0
127320,0
128684,1
130347,0
3801,0
3885,0
2833,0
102201,0
68354,0
66511,0
2077,0
1976,0
127187,0
102226,0
2663,0
3572,0
6843,0
100238,0
101750,0
5158,0
3408,1
98745,0
128302,0
6666,0
98285,0
100772,0
8069,1
4376,0
456,0
102565,0
67081,0
69154,0
2098,0
126452,0
99183,0
127537,0
130649,0
8408,0
102423,1
98607,1
127507,0
98528,0
66604,0
8678,0
102505,1
7171,0
98241,1
98426,0
1301,0
66723,0
8888,0
129308,1
7241,0
67170,0
3982,0
100012,0
126387,1
101246,1
100562,1
102482,0
102970,0
9260,0
68975,0
101776,1
129943,0
5224,0
102431,0
100406,0
101497,0
99089,1
66542,0
99824,1
65048,1
102828,1
100002,0
100047,0
8727,0
26,0
63,0
2993,0
2099,0
277,0
68227,0
4289,0
66571,1
100760,0
98668,0
4287,0
5444,0
5029,1
130417,0
1148,0
66570,1
128949,1
4833,0
3424,0
3854,0
6881,1
68681,0
2161,0
130291,0
129156,0
6754,0
98885,0
8170,0
67578,0
127144,1
4680,0
98989,1
99997,1
5353,0
1814,0
5940,1
1152,0
65503,0
6278,0
98770,0
100363,0
6212,0
129915,0
1517,0
65061,0
3447,0
65333,0
127722,0
127376,0
309,0
65936,0
99628,0
129515,1
130424,0
8477,0
130720,0
8720,0
68254,0
126485,1
130375,0
100663,0
66105,0
101813,1
129978,0
5975,0
130436,0
68649,0
4712,1
67380,1
65631,0
4037,0
7317,0
127563,0
1525,0
5340,0
128525,1
101626,0
65311,0
67403,1
5841,0
128920,1
129241,0
2688,0
1607,0
130517,0
130243,0
67613,0
129503,0
128501,1
343,0
68479,0
1610,0
2578,0
100368,1
102664,0
65862,0
2163,0
101507,0
127179,0
68467,0
69128,0
4779,1
8761,0
8611,0
65377,0
130574,0
68009,0
5902,0
9256,0
130717,0
1690,0
69111,0
7160,0
127766,0
4784,0
128473,1
98673,1
129969,0
98323,1
5216,0
102429,0
67756,0
98176,1
126865,0
4068,0
98581,0
129391,0
101536,0
8223,1
130315,0
102833,0
4235,1
99181,1
6852,0
129038,0
1759,0
5269,0
129056,0
9129,0
126681,0
4262,0
66668,1
67954,0
99195,0
5696,0
101163,0
67885,0
129975,0
144035,0
68428,0
100657,0
128154,0
826,0
6738,0
3001,0
6842,0
68913,0
129441,1
127018,0
5126,1
100361,0
102557,0
957,0
69155,1
7321,0
67535,0
128136,1
6695,0
4040,0
403,0
127131,0
130554,0
67329,0
4631,0
102969,0
2127,0
2932,0
128047,0
100793,0
65843,0
99528,0
6610,0
100030,0
6216,0
2103,0
66977,0
65470,0
7490,0
128981,1
130065,0
128287,1
4474,0
3582,0
127386,1
98769,1
129047,0
1110,0
5101,1
127858,1
8846,0
485,1
66955,0
127745,0
65450,0
69097,0
130640,0
4193,0
101097,0
9100,0
68431,0
127570,0
102803,1
127200,0
68086,0
2989,0
127260,0
126405,1
2646,1
464,0
3058,0
98918,0
68705,0
8469,0
2244,0
127439,1
6275,0
2969,0
128206,1
65326,0
100847,1
67209,0
130128,0
1831,0
102735,0
9168,0
130682,0
1279,0
65094,0
9230,0
68662,0
3949,0
102865,1
129939,0
7288,0
5745,0
7962,0
1137,0
6886,1
6282,0
130667,0
100029,0
65738,0
5513,0
127962,0
6042,0
66945,0
127816,0
9148,0
98995,0
9292,0
98125,0
242,0
3450,0
100040,0
127275,1
99032,0
128784,1
99025,0
7881,0
100487,0
102475,1
98980,0
3829,0
7326,1
878,0
130842,0
3685,0
98484,0
68053,0
8113,0
65556,0
65521,0
9477,0
4810,0
130632,0
2338,0
5356,0
129944,0
7518,0
1911,0
4895,0
65201,0
130607,0
65224,1
1467,0
65315,1
4506,0
68321,0
128146,1
5089,1
4231,0
269,0
127155,1
65500,0
2485,0
9308,0
476,0
101121,0
99001,0
7372,0
66981,1
65445,0
1581,0
8302,0
4090,0
100557,0
100201,0
7823,1
69073,1
98245,0
129714,0
3648,0
1678,0
66207,0
128524,1
69169,0
130011,0
8682,0
133,0
1415,0
5329,0
68377,0
6058,0
2367,0
67608,0
9362,0
65904,1
99400,0
3246,0
65705,0
100464,1
8202,0
130872,0
69083,0
8123,1
66895,1
7380,1
68388,0
128827,0
100801,0
126577,0
7938,1
127093,0
128507,1
5556,0
4826,0
2572,0
130705,0
913,0
65138,0
102634,0
2716,0
98312,1
7699,0
7360,0
7399,0
129720,0
1697,0
4860,1
837,0
8920,0
65944,1
128687,1
98389,0
2442,0
526,0
129200,0
65922,1
467,0
3411,0
2352,0
241,0
67877,0
65897,0
2058,0
127596,1
5801,0
4355,1
6949,0
68772,1
99453,1
66221,0
126583,0
7453,0
4435,0
127630,0
98181,1
2110,0
65420,1
68097,0
99145,0
9355,0
130671,0
127641,0
130787,0
129305,0
68949,0
67383,0
129235,0
66634,0
8528,0
67534,0
5701,0
102527,0
66089,0
98812,0
3216,0
68203,0
66251,0
65174,0
98946,0
7622,0
2428,0
66692,0
1404,0
66173,0
1634,0
65933,0
101687,1
127385,0
2039,0
8960,0
2963,0
4955,0
143667,0
1314,0
98981,0
7956,0
8499,0
66100,0
3018,0
7411,1
127786,1
130345,0
102435,0
102304,1
5114,0
127834,0
1059,0
68493,0
102183,0
129994,0
295,0
126752,1
68495,0
66516,0
1760,0
102813,0
5925,1
5243,0
67732,0
65545,0
8334,0
102651,0
128935,0
100311,0
5425,0
7665,1
7273,0
5987,0
100451,1
127804,0
129938,0
127704,0
130201,0
101762,1
5292,0
128150,1
102259,0
67103,0
130863,0
65763,1
6980,0
99198,0
3934,0
101291,0
100283,0
5563,0
67375,0
129878,0
100321,0
128211,1
129951,0
129794,1
99237,0
5281,0
98395,0
98236,1
4476,0
98902,0
3102,0
5415,0
69012,1
3987,0
3830,0
4096,0
8792,0
65800,0
65599,0
8899,0
127918,0
67496,0
129114,0
9169,0
130546,0
729,0
30,0
3110,0
99895,1
129423,0
6866,0
5952,0
99937,1
126606,0
9103,0
3082,0
100516,0
7440,0
390,0
102447,0
2994,0
129758,0
1786,0
5386,0
126558,1
5034,0
67033,1
4726,0
102338,0
67185,0
127720,0
127788,1
5486,0
